,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,first_time
3346,3346,QSAR-TID-10244,1,62,active,Sparse_ARFF,,,,0.0,1026.0,396.0,0.0,0.0,1025.0,1.0,0.37400388717651367
3347,3347,QSAR-TID-260,1,62,active,Sparse_ARFF,,,,0.0,1026.0,18.0,0.0,0.0,1025.0,1.0,0.2739706039428711
3348,3348,QSAR-TID-10373,1,62,active,Sparse_ARFF,,,,0.0,1026.0,53.0,0.0,0.0,1025.0,1.0,0.32999563217163086
3349,3349,QSAR-TID-246,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1135.0,0.0,0.0,1025.0,1.0,0.47099733352661133
3350,3350,QSAR-TID-168,1,62,active,Sparse_ARFF,,,,0.0,1026.0,412.0,0.0,0.0,1025.0,1.0,0.39299845695495605
3351,3351,QSAR-TID-101552,1,62,active,Sparse_ARFF,,,,0.0,1026.0,73.0,0.0,0.0,1025.0,1.0,0.4049999713897705
3352,3352,QSAR-TID-12673,1,62,active,Sparse_ARFF,,,,0.0,1026.0,183.0,0.0,0.0,1025.0,1.0,0.38403987884521484
3353,3353,QSAR-TID-12666,1,62,active,Sparse_ARFF,,,,0.0,1026.0,2243.0,0.0,0.0,1025.0,1.0,0.4649958610534668
3354,3354,QSAR-TID-247,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1171.0,0.0,0.0,1025.0,1.0,0.45897722244262695
3355,3355,QSAR-TID-10143,1,62,active,Sparse_ARFF,,,,0.0,1026.0,62.0,0.0,0.0,1025.0,1.0,0.3689868450164795
3356,3356,QSAR-TID-103910,1,62,active,Sparse_ARFF,,,,0.0,1026.0,14.0,0.0,0.0,1025.0,1.0,0.38500142097473145
3357,3357,QSAR-TID-12345,1,62,active,Sparse_ARFF,,,,0.0,1026.0,42.0,0.0,0.0,1025.0,1.0,0.4870009422302246
3358,3358,QSAR-TID-146,1,62,active,Sparse_ARFF,,,,0.0,1026.0,683.0,0.0,0.0,1025.0,1.0,0.5489964485168457
3359,3359,QSAR-TID-10982,1,62,active,Sparse_ARFF,,,,0.0,1026.0,600.0,0.0,0.0,1025.0,1.0,0.4946293830871582
3360,3360,QSAR-TID-10544,1,62,active,Sparse_ARFF,,,,0.0,1026.0,203.0,0.0,0.0,1025.0,1.0,0.422299861907959
3361,3361,QSAR-TID-103071,1,62,active,Sparse_ARFF,,,,0.0,1026.0,150.0,0.0,0.0,1025.0,1.0,0.39096760749816895
3362,3362,QSAR-TID-101252,1,62,active,Sparse_ARFF,,,,0.0,1026.0,33.0,0.0,0.0,1025.0,1.0,0.3719959259033203
3363,3363,QSAR-TID-19905,1,62,active,Sparse_ARFF,,,,0.0,1026.0,3048.0,0.0,0.0,1025.0,1.0,0.48096680641174316
3364,3364,QSAR-TID-10880,1,62,active,Sparse_ARFF,,,,0.0,1026.0,955.0,0.0,0.0,1025.0,1.0,0.4194185733795166
3365,3365,QSAR-TID-10167,1,62,active,Sparse_ARFF,,,,0.0,1026.0,89.0,0.0,0.0,1025.0,1.0,0.2952001094818115
3366,3366,QSAR-TID-10190,1,62,active,Sparse_ARFF,,,,0.0,1026.0,66.0,0.0,0.0,1025.0,1.0,0.29735279083251953
3367,3367,QSAR-TID-12132,1,62,active,Sparse_ARFF,,,,0.0,1026.0,44.0,0.0,0.0,1025.0,1.0,0.2958674430847168
3368,3368,QSAR-TID-252,1,62,active,Sparse_ARFF,,,,0.0,1026.0,4081.0,0.0,0.0,1025.0,1.0,0.4389939308166504
3370,3370,QSAR-TID-20036,1,62,active,Sparse_ARFF,,,,0.0,1026.0,23.0,0.0,0.0,1025.0,1.0,0.2700064182281494
3372,3372,QSAR-TID-10502,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1627.0,0.0,0.0,1025.0,1.0,0.4729626178741455
3373,3373,QSAR-TID-100155,1,62,active,Sparse_ARFF,,,,0.0,1026.0,138.0,0.0,0.0,1025.0,1.0,0.3105475902557373
3374,3374,QSAR-TID-11299,1,62,active,Sparse_ARFF,,,,0.0,1026.0,68.0,0.0,0.0,1025.0,1.0,0.35000109672546387
3375,3375,QSAR-TID-11085,1,62,active,Sparse_ARFF,,,,0.0,1026.0,712.0,0.0,0.0,1025.0,1.0,0.3640003204345703
3376,3376,QSAR-TID-12186,1,62,active,Sparse_ARFF,,,,0.0,1026.0,22.0,0.0,0.0,1025.0,1.0,0.27603864669799805
3377,3377,QSAR-TID-101585,1,62,active,Sparse_ARFF,,,,0.0,1026.0,58.0,0.0,0.0,1025.0,1.0,0.3049814701080322
3378,3378,QSAR-TID-11084,1,62,active,Sparse_ARFF,,,,0.0,1026.0,842.0,0.0,0.0,1025.0,1.0,0.40497827529907227
3379,3379,QSAR-TID-101503,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.3880000114440918
3380,3380,QSAR-TID-101598,1,62,active,Sparse_ARFF,,,,0.0,1026.0,399.0,0.0,0.0,1025.0,1.0,0.41474008560180664
3381,3381,QSAR-TID-17021,1,62,active,Sparse_ARFF,,,,0.0,1026.0,276.0,0.0,0.0,1025.0,1.0,0.3790009021759033
3382,3382,QSAR-TID-101045,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.35910487174987793
3383,3383,QSAR-TID-12718,1,62,active,Sparse_ARFF,,,,0.0,1026.0,134.0,0.0,0.0,1025.0,1.0,0.40100622177124023
3385,3385,QSAR-TID-12029,1,62,active,Sparse_ARFF,,,,0.0,1026.0,28.0,0.0,0.0,1025.0,1.0,0.2854928970336914
3386,3386,QSAR-TID-104385,1,62,active,Sparse_ARFF,,,,0.0,1026.0,24.0,0.0,0.0,1025.0,1.0,0.24699664115905762
3387,3387,QSAR-TID-11058,1,62,active,Sparse_ARFF,,,,0.0,1026.0,41.0,0.0,0.0,1025.0,1.0,0.33700060844421387
3388,3388,QSAR-TID-10501,1,62,active,Sparse_ARFF,,,,0.0,1026.0,147.0,0.0,0.0,1025.0,1.0,0.3769676685333252
3389,3389,QSAR-TID-12788,1,62,active,Sparse_ARFF,,,,0.0,1026.0,50.0,0.0,0.0,1025.0,1.0,0.3110339641571045
3390,3390,QSAR-TID-100427,1,62,active,Sparse_ARFF,,,,0.0,1026.0,77.0,0.0,0.0,1025.0,1.0,0.32596588134765625
3391,3391,QSAR-TID-100992,1,62,active,Sparse_ARFF,,,,0.0,1026.0,83.0,0.0,0.0,1025.0,1.0,0.36299920082092285
3392,3392,QSAR-TID-100918,1,62,active,Sparse_ARFF,,,,0.0,1026.0,88.0,0.0,0.0,1025.0,1.0,0.41300106048583984
3393,3393,QSAR-TID-11105,1,62,active,Sparse_ARFF,,,,0.0,1026.0,631.0,0.0,0.0,1025.0,1.0,0.47800254821777344
3394,3394,QSAR-TID-20154,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1024.0,0.0,0.0,1025.0,1.0,0.41199564933776855
3395,3395,QSAR-TID-13024,1,62,active,Sparse_ARFF,,,,0.0,1026.0,13.0,0.0,0.0,1025.0,1.0,0.27601051330566406
3396,3396,QSAR-TID-11269,1,62,active,Sparse_ARFF,,,,0.0,1026.0,614.0,0.0,0.0,1025.0,1.0,0.403989315032959
3397,3397,QSAR-TID-12703,1,62,active,Sparse_ARFF,,,,0.0,1026.0,226.0,0.0,0.0,1025.0,1.0,0.3880183696746826
3398,3398,QSAR-TID-10058,1,62,active,Sparse_ARFF,,,,0.0,1026.0,273.0,0.0,0.0,1025.0,1.0,0.36698412895202637
3399,3399,QSAR-TID-20032,1,62,active,Sparse_ARFF,,,,0.0,1026.0,123.0,0.0,0.0,1025.0,1.0,0.3390047550201416
3400,3400,QSAR-TID-11863,1,62,active,Sparse_ARFF,,,,0.0,1026.0,70.0,0.0,0.0,1025.0,1.0,0.3636915683746338
3401,3401,QSAR-TID-10494,1,62,active,Sparse_ARFF,,,,0.0,1026.0,233.0,0.0,0.0,1025.0,1.0,0.40100741386413574
3402,3402,QSAR-TID-11081,1,62,active,Sparse_ARFF,,,,0.0,1026.0,843.0,0.0,0.0,1025.0,1.0,0.44399261474609375
3403,3403,QSAR-TID-240,1,62,active,Sparse_ARFF,,,,0.0,1026.0,272.0,0.0,0.0,1025.0,1.0,0.42200374603271484
3404,3404,QSAR-TID-10497,1,62,active,Sparse_ARFF,,,,0.0,1026.0,50.0,0.0,0.0,1025.0,1.0,0.3159959316253662
3405,3405,QSAR-TID-101053,1,62,active,Sparse_ARFF,,,,0.0,1026.0,80.0,0.0,0.0,1025.0,1.0,0.6099979877471924
3406,3406,QSAR-TID-11870,1,62,active,Sparse_ARFF,,,,0.0,1026.0,129.0,0.0,0.0,1025.0,1.0,0.41100072860717773
3407,3407,QSAR-TID-11977,1,62,active,Sparse_ARFF,,,,0.0,1026.0,44.0,0.0,0.0,1025.0,1.0,0.29999780654907227
3408,3408,QSAR-TID-12336,1,62,active,Sparse_ARFF,,,,0.0,1026.0,17.0,0.0,0.0,1025.0,1.0,0.25800132751464844
3409,3409,QSAR-TID-17134,1,62,active,Sparse_ARFF,,,,0.0,1026.0,32.0,0.0,0.0,1025.0,1.0,0.3249983787536621
3410,3410,QSAR-TID-101152,1,62,active,Sparse_ARFF,,,,0.0,1026.0,101.0,0.0,0.0,1025.0,1.0,0.31799960136413574
3411,3411,QSAR-TID-100859,1,62,active,Sparse_ARFF,,,,0.0,1026.0,25.0,0.0,0.0,1025.0,1.0,0.2849996089935303
3412,3412,QSAR-TID-11364,1,62,active,Sparse_ARFF,,,,0.0,1026.0,969.0,0.0,0.0,1025.0,1.0,0.4160308837890625
3413,3413,QSAR-TID-10056,1,62,active,Sparse_ARFF,,,,0.0,1026.0,690.0,0.0,0.0,1025.0,1.0,0.476970911026001
3414,3414,QSAR-TID-10209,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1171.0,0.0,0.0,1025.0,1.0,0.5909996032714844
3415,3415,QSAR-TID-101300,1,62,active,Sparse_ARFF,,,,0.0,1026.0,475.0,0.0,0.0,1025.0,1.0,0.8919978141784668
3416,3416,QSAR-TID-10648,1,62,active,Sparse_ARFF,,,,0.0,1026.0,21.0,0.0,0.0,1025.0,1.0,0.4009983539581299
3417,3417,QSAR-TID-100436,1,62,active,Sparse_ARFF,,,,0.0,1026.0,163.0,0.0,0.0,1025.0,1.0,0.7660021781921387
3418,3418,QSAR-TID-11249,1,62,active,Sparse_ARFF,,,,0.0,1026.0,13.0,0.0,0.0,1025.0,1.0,0.33899855613708496
3419,3419,QSAR-TID-10368,1,62,active,Sparse_ARFF,,,,0.0,1026.0,882.0,0.0,0.0,1025.0,1.0,0.9330015182495117
3420,3420,QSAR-TID-100069,1,62,active,Sparse_ARFF,,,,0.0,1026.0,471.0,0.0,0.0,1025.0,1.0,0.714996337890625
3421,3421,QSAR-TID-11722,1,62,active,Sparse_ARFF,,,,0.0,1026.0,68.0,0.0,0.0,1025.0,1.0,0.4250164031982422
3422,3422,QSAR-TID-12593,1,62,active,Sparse_ARFF,,,,0.0,1026.0,26.0,0.0,0.0,1025.0,1.0,0.47498273849487305
3423,3423,QSAR-TID-101407,1,62,active,Sparse_ARFF,,,,0.0,1026.0,276.0,0.0,0.0,1025.0,1.0,0.47200441360473633
3424,3424,QSAR-TID-10728,1,62,active,Sparse_ARFF,,,,0.0,1026.0,172.0,0.0,0.0,1025.0,1.0,0.4919929504394531
3425,3425,QSAR-TID-10273,1,62,active,Sparse_ARFF,,,,0.0,1026.0,449.0,0.0,0.0,1025.0,1.0,0.5420026779174805
3426,3426,QSAR-TID-10856,1,62,active,Sparse_ARFF,,,,0.0,1026.0,121.0,0.0,0.0,1025.0,1.0,0.376997709274292
3427,3427,QSAR-TID-10576,1,62,active,Sparse_ARFF,,,,0.0,1026.0,4103.0,0.0,0.0,1025.0,1.0,0.48300600051879883
3428,3428,QSAR-TID-12128,1,62,active,Sparse_ARFF,,,,0.0,1026.0,407.0,0.0,0.0,1025.0,1.0,0.3700294494628906
3429,3429,QSAR-TID-11441,1,62,active,Sparse_ARFF,,,,0.0,1026.0,61.0,0.0,0.0,1025.0,1.0,0.3189685344696045
3430,3430,QSAR-TID-10262,1,62,active,Sparse_ARFF,,,,0.0,1026.0,639.0,0.0,0.0,1025.0,1.0,0.4599947929382324
3431,3431,QSAR-TID-103441,1,62,active,Sparse_ARFF,,,,0.0,1026.0,74.0,0.0,0.0,1025.0,1.0,0.3770003318786621
3432,3432,QSAR-TID-11402,1,62,active,Sparse_ARFF,,,,0.0,1026.0,413.0,0.0,0.0,1025.0,1.0,0.3350358009338379
3433,3433,QSAR-TID-12824,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1261.0,0.0,0.0,1025.0,1.0,0.4389827251434326
3434,3434,QSAR-TID-11692,1,62,active,Sparse_ARFF,,,,0.0,1026.0,98.0,0.0,0.0,1025.0,1.0,0.2989804744720459
3435,3435,QSAR-TID-103163,1,62,active,Sparse_ARFF,,,,0.0,1026.0,19.0,0.0,0.0,1025.0,1.0,0.28403759002685547
3436,3436,QSAR-TID-101392,1,62,active,Sparse_ARFF,,,,0.0,1026.0,37.0,0.0,0.0,1025.0,1.0,0.2829933166503906
3437,3437,QSAR-TID-102981,1,62,active,Sparse_ARFF,,,,0.0,1026.0,32.0,0.0,0.0,1025.0,1.0,0.28997254371643066
3438,3438,QSAR-TID-12853,1,62,active,Sparse_ARFF,,,,0.0,1026.0,62.0,0.0,0.0,1025.0,1.0,0.3569967746734619
3439,3439,QSAR-TID-100912,1,62,active,Sparse_ARFF,,,,0.0,1026.0,948.0,0.0,0.0,1025.0,1.0,0.40599775314331055
3440,3440,QSAR-TID-101269,1,62,active,Sparse_ARFF,,,,0.0,1026.0,675.0,0.0,0.0,1025.0,1.0,0.46699976921081543
3441,3441,QSAR-TID-11427,1,62,active,Sparse_ARFF,,,,0.0,1026.0,167.0,0.0,0.0,1025.0,1.0,0.35752439498901367
3442,3442,QSAR-TID-100433,1,62,active,Sparse_ARFF,,,,0.0,1026.0,11.0,0.0,0.0,1025.0,1.0,0.2840299606323242
3443,3443,QSAR-TID-11989,1,62,active,Sparse_ARFF,,,,0.0,1026.0,43.0,0.0,0.0,1025.0,1.0,0.2779970169067383
3444,3444,QSAR-TID-10970,1,62,active,Sparse_ARFF,,,,0.0,1026.0,763.0,0.0,0.0,1025.0,1.0,0.42293429374694824
3445,3445,QSAR-TID-12829,1,62,active,Sparse_ARFF,,,,0.0,1026.0,543.0,0.0,0.0,1025.0,1.0,0.42403650283813477
3447,3447,QSAR-TID-101221,1,62,active,Sparse_ARFF,,,,0.0,1026.0,81.0,0.0,0.0,1025.0,1.0,0.3809950351715088
3448,3448,QSAR-TID-12619,1,62,active,Sparse_ARFF,,,,0.0,1026.0,21.0,0.0,0.0,1025.0,1.0,0.30998706817626953
3449,3449,QSAR-TID-10329,1,62,active,Sparse_ARFF,,,,0.0,1026.0,669.0,0.0,0.0,1025.0,1.0,0.5027151107788086
3450,3450,QSAR-TID-176,1,62,active,Sparse_ARFF,,,,0.0,1026.0,906.0,0.0,0.0,1025.0,1.0,0.3946197032928467
3451,3451,QSAR-TID-100244,1,62,active,Sparse_ARFF,,,,0.0,1026.0,11.0,0.0,0.0,1025.0,1.0,0.2939727306365967
3452,3452,QSAR-TID-10184,1,62,active,Sparse_ARFF,,,,0.0,1026.0,941.0,0.0,0.0,1025.0,1.0,0.43787503242492676
3453,3453,QSAR-TID-10657,1,62,active,Sparse_ARFF,,,,0.0,1026.0,14.0,0.0,0.0,1025.0,1.0,0.5605487823486328
3454,3454,QSAR-TID-12744,1,62,active,Sparse_ARFF,,,,0.0,1026.0,59.0,0.0,0.0,1025.0,1.0,0.5706648826599121
3455,3455,QSAR-TID-100413,1,62,active,Sparse_ARFF,,,,0.0,1026.0,998.0,0.0,0.0,1025.0,1.0,0.47022223472595215
3456,3456,QSAR-TID-270,1,62,active,Sparse_ARFF,,,,0.0,1026.0,289.0,0.0,0.0,1025.0,1.0,0.41404175758361816
3457,3457,QSAR-TID-11399,1,62,active,Sparse_ARFF,,,,0.0,1026.0,518.0,0.0,0.0,1025.0,1.0,0.430300235748291
3458,3458,QSAR-TID-30020,1,62,active,Sparse_ARFF,,,,0.0,1026.0,89.0,0.0,0.0,1025.0,1.0,0.4268484115600586
3459,3459,QSAR-TID-42,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1302.0,0.0,0.0,1025.0,1.0,0.5349781513214111
3460,3460,QSAR-TID-101041,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.5768311023712158
3461,3461,QSAR-TID-10814,1,62,active,Sparse_ARFF,,,,0.0,1026.0,103.0,0.0,0.0,1025.0,1.0,0.34700441360473633
3462,3462,QSAR-TID-175,1,62,active,Sparse_ARFF,,,,0.0,1026.0,251.0,0.0,0.0,1025.0,1.0,0.5229806900024414
3463,3463,QSAR-TID-104260,1,62,active,Sparse_ARFF,,,,0.0,1026.0,71.0,0.0,0.0,1025.0,1.0,0.460568904876709
3464,3464,QSAR-TID-101460,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.5886669158935547
3465,3465,QSAR-TID-11018,1,62,active,Sparse_ARFF,,,,0.0,1026.0,579.0,0.0,0.0,1025.0,1.0,0.5749902725219727
3466,3466,QSAR-TID-10688,1,62,active,Sparse_ARFF,,,,0.0,1026.0,44.0,0.0,0.0,1025.0,1.0,0.4829983711242676
3467,3467,QSAR-TID-10485,1,62,active,Sparse_ARFF,,,,0.0,1026.0,32.0,0.0,0.0,1025.0,1.0,0.35199737548828125
3468,3468,QSAR-TID-12738,1,62,active,Sparse_ARFF,,,,0.0,1026.0,596.0,0.0,0.0,1025.0,1.0,0.5760326385498047
3469,3469,QSAR-TID-102770,1,62,active,Sparse_ARFF,,,,0.0,1026.0,73.0,0.0,0.0,1025.0,1.0,0.5309610366821289
3470,3470,QSAR-TID-102414,1,62,active,Sparse_ARFF,,,,0.0,1026.0,523.0,0.0,0.0,1025.0,1.0,0.4320042133331299
3471,3471,QSAR-TID-101079,1,62,active,Sparse_ARFF,,,,0.0,1026.0,125.0,0.0,0.0,1025.0,1.0,0.37702369689941406
3472,3472,QSAR-TID-11154,1,62,active,Sparse_ARFF,,,,0.0,1026.0,688.0,0.0,0.0,1025.0,1.0,0.44700098037719727
3474,3474,QSAR-TID-10450,1,62,active,Sparse_ARFF,,,,0.0,1026.0,214.0,0.0,0.0,1025.0,1.0,0.45000243186950684
3475,3475,QSAR-TID-137,1,62,active,Sparse_ARFF,,,,0.0,1026.0,3689.0,0.0,0.0,1025.0,1.0,0.48302674293518066
3476,3476,QSAR-TID-118,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1362.0,0.0,0.0,1025.0,1.0,0.402968168258667
3477,3477,QSAR-TID-101602,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.47600269317626953
3478,3478,QSAR-TID-101324,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.409029483795166
3479,3479,QSAR-TID-100424,1,62,active,Sparse_ARFF,,,,0.0,1026.0,97.0,0.0,0.0,1025.0,1.0,0.3529682159423828
3480,3480,QSAR-TID-11868,1,62,active,Sparse_ARFF,,,,0.0,1026.0,519.0,0.0,0.0,1025.0,1.0,0.5879981517791748
3481,3481,QSAR-TID-12787,1,62,active,Sparse_ARFF,,,,0.0,1026.0,10.0,0.0,0.0,1025.0,1.0,0.2890002727508545
3482,3482,QSAR-TID-12090,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1312.0,0.0,0.0,1025.0,1.0,0.43500232696533203
3483,3483,QSAR-TID-20023,1,62,active,Sparse_ARFF,,,,0.0,1026.0,60.0,0.0,0.0,1025.0,1.0,0.3199961185455322
3484,3484,QSAR-TID-12131,1,62,active,Sparse_ARFF,,,,0.0,1026.0,111.0,0.0,0.0,1025.0,1.0,0.3039994239807129
3485,3485,QSAR-TID-11199,1,62,active,Sparse_ARFF,,,,0.0,1026.0,104.0,0.0,0.0,1025.0,1.0,0.3410031795501709
3486,3486,QSAR-TID-11942,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1002.0,0.0,0.0,1025.0,1.0,0.3502793312072754
3487,3487,QSAR-TID-100962,1,62,active,Sparse_ARFF,,,,0.0,1026.0,35.0,0.0,0.0,1025.0,1.0,0.2949831485748291
3488,3488,QSAR-TID-12227,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1510.0,0.0,0.0,1025.0,1.0,0.42801451683044434
3489,3489,QSAR-TID-12735,1,62,active,Sparse_ARFF,,,,0.0,1026.0,646.0,0.0,0.0,1025.0,1.0,0.4169957637786865
3490,3490,QSAR-TID-20033,1,62,active,Sparse_ARFF,,,,0.0,1026.0,273.0,0.0,0.0,1025.0,1.0,0.3319718837738037
3491,3491,QSAR-TID-11528,1,62,active,Sparse_ARFF,,,,0.0,1026.0,35.0,0.0,0.0,1025.0,1.0,0.3249967098236084
3492,3492,QSAR-TID-100834,1,62,active,Sparse_ARFF,,,,0.0,1026.0,747.0,0.0,0.0,1025.0,1.0,0.42104005813598633
3493,3493,QSAR-TID-101361,1,62,active,Sparse_ARFF,,,,0.0,1026.0,323.0,0.0,0.0,1025.0,1.0,0.4547288417816162
3494,3494,QSAR-TID-11831,1,62,active,Sparse_ARFF,,,,0.0,1026.0,15.0,0.0,0.0,1025.0,1.0,0.35986971855163574
3495,3495,QSAR-TID-100432,1,62,active,Sparse_ARFF,,,,0.0,1026.0,293.0,0.0,0.0,1025.0,1.0,0.5285584926605225
3496,3496,QSAR-TID-102774,1,62,active,Sparse_ARFF,,,,0.0,1026.0,72.0,0.0,0.0,1025.0,1.0,0.35298752784729004
3497,3497,QSAR-TID-115,1,62,active,Sparse_ARFF,,,,0.0,1026.0,974.0,0.0,0.0,1025.0,1.0,0.3989243507385254
3498,3498,QSAR-TID-10616,1,62,active,Sparse_ARFF,,,,0.0,1026.0,249.0,0.0,0.0,1025.0,1.0,0.41199445724487305
3499,3499,QSAR-TID-101397,1,62,active,Sparse_ARFF,,,,0.0,1026.0,11.0,0.0,0.0,1025.0,1.0,0.266035795211792
3500,3500,QSAR-TID-10452,1,62,active,Sparse_ARFF,,,,0.0,1026.0,482.0,0.0,0.0,1025.0,1.0,0.3956880569458008
3501,3501,QSAR-TID-100418,1,62,active,Sparse_ARFF,,,,0.0,1026.0,85.0,0.0,0.0,1025.0,1.0,0.395479679107666
3502,3502,QSAR-TID-100993,1,62,active,Sparse_ARFF,,,,0.0,1026.0,80.0,0.0,0.0,1025.0,1.0,0.4378025531768799
3503,3503,QSAR-TID-20171,1,62,active,Sparse_ARFF,,,,0.0,1026.0,128.0,0.0,0.0,1025.0,1.0,0.40003442764282227
3504,3504,QSAR-TID-10526,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1814.0,0.0,0.0,1025.0,1.0,0.4488639831542969
3505,3505,QSAR-TID-249,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1487.0,0.0,0.0,1025.0,1.0,0.3638181686401367
3506,3506,QSAR-TID-101399,1,62,active,Sparse_ARFF,,,,0.0,1026.0,75.0,0.0,0.0,1025.0,1.0,0.3739662170410156
3507,3507,QSAR-TID-10808,1,62,active,Sparse_ARFF,,,,0.0,1026.0,153.0,0.0,0.0,1025.0,1.0,0.41665029525756836
3508,3508,QSAR-TID-101182,1,62,active,Sparse_ARFF,,,,0.0,1026.0,80.0,0.0,0.0,1025.0,1.0,0.4010043144226074
3509,3509,QSAR-TID-12857,1,62,active,Sparse_ARFF,,,,0.0,1026.0,11.0,0.0,0.0,1025.0,1.0,0.2741069793701172
3510,3510,QSAR-TID-12910,1,62,active,Sparse_ARFF,,,,0.0,1026.0,326.0,0.0,0.0,1025.0,1.0,0.36902785301208496
3511,3511,QSAR-TID-10702,1,62,active,Sparse_ARFF,,,,0.0,1026.0,455.0,0.0,0.0,1025.0,1.0,0.34796810150146484
3512,3512,QSAR-TID-11726,1,62,active,Sparse_ARFF,,,,0.0,1026.0,59.0,0.0,0.0,1025.0,1.0,0.23503518104553223
3513,3513,QSAR-TID-101222,1,62,active,Sparse_ARFF,,,,0.0,1026.0,78.0,0.0,0.0,1025.0,1.0,0.3280014991760254
3514,3514,QSAR-TID-101237,1,62,active,Sparse_ARFF,,,,0.0,1026.0,10.0,0.0,0.0,1025.0,1.0,0.2599625587463379
3515,3515,QSAR-TID-216,1,62,active,Sparse_ARFF,,,,0.0,1026.0,520.0,0.0,0.0,1025.0,1.0,0.390000581741333
3516,3516,QSAR-TID-10876,1,62,active,Sparse_ARFF,,,,0.0,1026.0,23.0,0.0,0.0,1025.0,1.0,0.29303550720214844
3517,3517,QSAR-TID-87,1,62,active,Sparse_ARFF,,,,0.0,1026.0,4160.0,0.0,0.0,1025.0,1.0,0.4510030746459961
3518,3518,QSAR-TID-140,1,62,active,Sparse_ARFF,,,,0.0,1026.0,176.0,0.0,0.0,1025.0,1.0,0.3779592514038086
3519,3519,QSAR-TID-12809,1,62,active,Sparse_ARFF,,,,0.0,1026.0,57.0,0.0,0.0,1025.0,1.0,0.2960343360900879
3520,3520,QSAR-TID-11209,1,62,active,Sparse_ARFF,,,,0.0,1026.0,95.0,0.0,0.0,1025.0,1.0,0.36800169944763184
3521,3521,QSAR-TID-10226,1,62,active,Sparse_ARFF,,,,0.0,1026.0,15.0,0.0,0.0,1025.0,1.0,0.28696513175964355
3522,3522,QSAR-TID-100629,1,62,active,Sparse_ARFF,,,,0.0,1026.0,21.0,0.0,0.0,1025.0,1.0,0.25002145767211914
3523,3523,QSAR-TID-100425,1,62,active,Sparse_ARFF,,,,0.0,1026.0,89.0,0.0,0.0,1025.0,1.0,0.27303051948547363
3524,3524,QSAR-TID-102734,1,62,active,Sparse_ARFF,,,,0.0,1026.0,43.0,0.0,0.0,1025.0,1.0,0.264970064163208
3525,3525,QSAR-TID-12071,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1852.0,0.0,0.0,1025.0,1.0,0.44473981857299805
3526,3526,QSAR-TID-10012,1,62,active,Sparse_ARFF,,,,0.0,1026.0,224.0,0.0,0.0,1025.0,1.0,0.32897377014160156
3527,3527,QSAR-TID-10120,1,62,active,Sparse_ARFF,,,,0.0,1026.0,212.0,0.0,0.0,1025.0,1.0,0.41703009605407715
3528,3528,QSAR-TID-12938,1,62,active,Sparse_ARFF,,,,0.0,1026.0,86.0,0.0,0.0,1025.0,1.0,0.35369086265563965
3529,3529,QSAR-TID-10685,1,62,active,Sparse_ARFF,,,,0.0,1026.0,220.0,0.0,0.0,1025.0,1.0,0.3436119556427002
3530,3530,QSAR-TID-30002,1,62,active,Sparse_ARFF,,,,0.0,1026.0,646.0,0.0,0.0,1025.0,1.0,0.5203883647918701
3531,3531,QSAR-TID-174,1,62,active,Sparse_ARFF,,,,0.0,1026.0,2027.0,0.0,0.0,1025.0,1.0,0.4685683250427246
3532,3532,QSAR-TID-19903,1,62,active,Sparse_ARFF,,,,0.0,1026.0,47.0,0.0,0.0,1025.0,1.0,0.32903218269348145
3533,3533,QSAR-TID-12480,1,62,active,Sparse_ARFF,,,,0.0,1026.0,156.0,0.0,0.0,1025.0,1.0,0.3447732925415039
3534,3534,QSAR-TID-17005,1,62,active,Sparse_ARFF,,,,0.0,1026.0,128.0,0.0,0.0,1025.0,1.0,0.36095309257507324
3535,3535,QSAR-TID-11003,1,62,active,Sparse_ARFF,,,,0.0,1026.0,866.0,0.0,0.0,1025.0,1.0,0.39618563652038574
