,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,first_time,first_time_1,OUT
3489,3489,QSAR-TID-12735,1,62,active,Sparse_ARFF,,,,0,1026,646,0,0,1025,1,0.618997574,0.416995764,FALSE
3490,3490,QSAR-TID-20033,1,62,active,Sparse_ARFF,,,,0,1026,273,0,0,1025,1,0.566003323,0.331971884,FALSE
3491,3491,QSAR-TID-11528,1,62,active,Sparse_ARFF,,,,0,1026,35,0,0,1025,1,0.409997463,0.32499671,FALSE
3492,3492,QSAR-TID-100834,1,62,active,Sparse_ARFF,,,,0,1026,747,0,0,1025,1,0.631546259,0.421040058,FALSE
3493,3493,QSAR-TID-101361,1,62,active,Sparse_ARFF,,,,0,1026,323,0,0,1025,1,0.572998524,0.454728842,FALSE
3494,3494,QSAR-TID-11831,1,62,active,Sparse_ARFF,,,,0,1026,15,0,0,1025,1,0.452034473,0.359869719,FALSE
3495,3495,QSAR-TID-100432,1,62,active,Sparse_ARFF,,,,0,1026,293,0,0,1025,1,0.532749414,0.528558493,FALSE
3496,3496,QSAR-TID-102774,1,62,active,Sparse_ARFF,,,,0,1026,72,0,0,1025,1,0.551999092,0.352987528,FALSE
3497,3497,QSAR-TID-115,1,62,active,Sparse_ARFF,,,,0,1026,974,0,0,1025,1,0.716026545,0.398924351,FALSE
3498,3498,QSAR-TID-10616,1,62,active,Sparse_ARFF,,,,0,1026,249,0,0,1025,1,0.533971548,0.411994457,FALSE
3499,3499,QSAR-TID-101397,1,62,active,Sparse_ARFF,,,,0,1026,11,0,0,1025,1,0.379359007,0.266035795,FALSE
3500,3500,QSAR-TID-10452,1,62,active,Sparse_ARFF,,,,0,1026,482,0,0,1025,1,0.589999676,0.395688057,FALSE
3501,3501,QSAR-TID-100418,1,62,active,Sparse_ARFF,,,,0,1026,85,0,0,1025,1,0.546994448,0.395479679,FALSE
3502,3502,QSAR-TID-100993,1,62,active,Sparse_ARFF,,,,0,1026,80,0,0,1025,1,0.508776188,0.437802553,FALSE
3503,3503,QSAR-TID-20171,1,62,active,Sparse_ARFF,,,,0,1026,128,0,0,1025,1,0.595071554,0.400034428,FALSE
3504,3504,QSAR-TID-10526,1,62,active,Sparse_ARFF,,,,0,1026,1814,0,0,1025,1,0.821391344,0.448863983,FALSE
3505,3505,QSAR-TID-249,1,62,active,Sparse_ARFF,,,,0,1026,1487,0,0,1025,1,0.80514431,0.363818169,FALSE
3506,3506,QSAR-TID-101399,1,62,active,Sparse_ARFF,,,,0,1026,75,0,0,1025,1,0.505449057,0.373966217,FALSE
3507,3507,QSAR-TID-10808,1,62,active,Sparse_ARFF,,,,0,1026,153,0,0,1025,1,0.526968479,0.416650295,FALSE
3508,3508,QSAR-TID-101182,1,62,active,Sparse_ARFF,,,,0,1026,80,0,0,1025,1,0.517994881,0.401004314,FALSE
3509,3509,QSAR-TID-12857,1,62,active,Sparse_ARFF,,,,0,1026,11,0,0,1025,1,0.41317153,0.274106979,FALSE
3510,3510,QSAR-TID-12910,1,62,active,Sparse_ARFF,,,,0,1026,326,0,0,1025,1,0.577841282,0.369027853,FALSE
3511,3511,QSAR-TID-10702,1,62,active,Sparse_ARFF,,,,0,1026,455,0,0,1025,1,0.560995102,0.347968102,FALSE
3512,3512,QSAR-TID-11726,1,62,active,Sparse_ARFF,,,,0,1026,59,0,0,1025,1,0.393732548,0.235035181,FALSE
3513,3513,QSAR-TID-101222,1,62,active,Sparse_ARFF,,,,0,1026,78,0,0,1025,1,0.524765253,0.328001499,FALSE
3514,3514,QSAR-TID-101237,1,62,active,Sparse_ARFF,,,,0,1026,10,0,0,1025,1,0.391034603,0.259962559,FALSE
3515,3515,QSAR-TID-216,1,62,active,Sparse_ARFF,,,,0,1026,520,0,0,1025,1,0.60742116,0.390000582,FALSE
3516,3516,QSAR-TID-10876,1,62,active,Sparse_ARFF,,,,0,1026,23,0,0,1025,1,0.453999519,0.293035507,FALSE
3517,3517,QSAR-TID-87,1,62,active,Sparse_ARFF,,,,0,1026,4160,0,0,1025,1,1.093000412,0.451003075,FALSE
3518,3518,QSAR-TID-140,1,62,active,Sparse_ARFF,,,,0,1026,176,0,0,1025,1,0.534277439,0.377959251,FALSE
3519,3519,QSAR-TID-12809,1,62,active,Sparse_ARFF,,,,0,1026,57,0,0,1025,1,0.497118711,0.296034336,FALSE
3520,3520,QSAR-TID-11209,1,62,active,Sparse_ARFF,,,,0,1026,95,0,0,1025,1,0.49899745,0.368001699,FALSE
3521,3521,QSAR-TID-10226,1,62,active,Sparse_ARFF,,,,0,1026,15,0,0,1025,1,0.420758724,0.286965132,FALSE
3522,3522,QSAR-TID-100629,1,62,active,Sparse_ARFF,,,,0,1026,21,0,0,1025,1,0.402997732,0.250021458,FALSE
3523,3523,QSAR-TID-100425,1,62,active,Sparse_ARFF,,,,0,1026,89,0,0,1025,1,0.457488298,0.273030519,FALSE
3524,3524,QSAR-TID-102734,1,62,active,Sparse_ARFF,,,,0,1026,43,0,0,1025,1,0.431997538,0.264970064,FALSE
3525,3525,QSAR-TID-12071,1,62,active,Sparse_ARFF,,,,0,1026,1852,0,0,1025,1,0.79798913,0.444739819,FALSE
3526,3526,QSAR-TID-10012,1,62,active,Sparse_ARFF,,,,0,1026,224,0,0,1025,1,0.519138336,0.32897377,FALSE
3527,3527,QSAR-TID-10120,1,62,active,Sparse_ARFF,,,,0,1026,212,0,0,1025,1,0.530033827,0.417030096,FALSE
3528,3528,QSAR-TID-12938,1,62,active,Sparse_ARFF,,,,0,1026,86,0,0,1025,1,0.441338062,0.353690863,FALSE
3529,3529,QSAR-TID-10685,1,62,active,Sparse_ARFF,,,,0,1026,220,0,0,1025,1,0.566982031,0.343611956,FALSE
3530,3530,QSAR-TID-30002,1,62,active,Sparse_ARFF,,,,0,1026,646,0,0,1025,1,0.633999825,0.520388365,FALSE
3531,3531,QSAR-TID-174,1,62,active,Sparse_ARFF,,,,0,1026,2027,0,0,1025,1,0.800850868,0.468568325,FALSE
3532,3532,QSAR-TID-19903,1,62,active,Sparse_ARFF,,,,0,1026,47,0,0,1025,1,0.438034534,0.329032183,FALSE
3533,3533,QSAR-TID-12480,1,62,active,Sparse_ARFF,,,,0,1026,156,0,0,1025,1,0.497517109,0.344773293,FALSE
3534,3534,QSAR-TID-17005,1,62,active,Sparse_ARFF,,,,0,1026,128,0,0,1025,1,0.466991663,0.360953093,FALSE
3535,3535,QSAR-TID-11003,1,62,active,Sparse_ARFF,,,,0,1026,866,0,0,1025,1,0.6860075,0.396185637,FALSE
3536,3536,QSAR-TID-12868,1,62,active,Sparse_ARFF,,,,0,1026,19,0,0,1025,1,0.427120924,0.25103116,FALSE
3537,3537,QSAR-TID-10649,1,62,active,Sparse_ARFF,,,,0,1026,14,0,0,1025,1,0.387956381,0.230002403,FALSE
3538,3538,QSAR-TID-220,1,62,active,Sparse_ARFF,,,,0,1026,274,0,0,1025,1,0.520033836,0.503961325,FALSE
3539,3539,QSAR-TID-10371,1,62,active,Sparse_ARFF,,,,0,1026,78,0,0,1025,1,0.525255203,0.431880474,FALSE
3540,3540,QSAR-TID-10081,1,62,active,Sparse_ARFF,,,,0,1026,248,0,0,1025,1,0.600035906,0.450996637,FALSE
3541,3541,QSAR-TID-20007,1,62,active,Sparse_ARFF,,,,0,1026,694,0,0,1025,1,0.693022013,0.489000559,FALSE
3542,3542,QSAR-TID-11898,1,62,active,Sparse_ARFF,,,,0,1026,21,0,0,1025,1,0.395005465,0.306002855,FALSE
3543,3543,QSAR-TID-100868,1,62,active,Sparse_ARFF,,,,0,1026,12,0,0,1025,1,0.427989721,0.27303791,FALSE
3544,3544,QSAR-TID-101032,1,62,active,Sparse_ARFF,,,,0,1026,83,0,0,1025,1,0.53300333,0.418958187,FALSE
3545,3545,QSAR-TID-10903,1,62,active,Sparse_ARFF,,,,0,1026,192,0,0,1025,1,0.549678087,0.42000103,FALSE
3546,3546,QSAR-TID-101473,1,62,active,Sparse_ARFF,,,,0,1026,80,0,0,1025,1,0.551995516,0.334027052,FALSE
3547,3547,QSAR-TID-251,1,62,active,Sparse_ARFF,,,,0,1026,426,0,0,1025,1,0.559272528,0.35997057,FALSE
3548,3548,QSAR-TID-101340,1,62,active,Sparse_ARFF,,,,0,1026,86,0,0,1025,1,0.501629114,0.428035736,FALSE
3549,3549,QSAR-TID-101521,1,62,active,Sparse_ARFF,,,,0,1026,15,0,0,1025,1,0.409003735,0.273979425,FALSE
3550,3550,QSAR-TID-11005,1,62,active,Sparse_ARFF,,,,0,1026,15,0,0,1025,1,0.408110619,0.355004072,FALSE
3551,3551,QSAR-TID-12913,1,62,active,Sparse_ARFF,,,,0,1026,800,0,0,1025,1,0.694995165,0.429025888,FALSE
3552,3552,QSAR-TID-10872,1,62,active,Sparse_ARFF,,,,0,1026,23,0,0,1025,1,0.42722702,0.257970095,FALSE
3553,3553,QSAR-TID-11498,1,62,active,Sparse_ARFF,,,,0,1026,137,0,0,1025,1,0.569304943,0.369031429,FALSE
3554,3554,QSAR-TID-101273,1,62,active,Sparse_ARFF,,,,0,1026,79,0,0,1025,1,0.553963423,0.382980347,FALSE
3555,3555,QSAR-TID-12807,1,62,active,Sparse_ARFF,,,,0,1026,146,0,0,1025,1,0.497998476,0.398985624,FALSE
3556,3556,QSAR-TID-148,1,62,active,Sparse_ARFF,,,,0,1026,404,0,0,1025,1,0.723996401,0.568037033,FALSE
3558,3558,QSAR-TID-100826,1,62,active,Sparse_ARFF,,,,0,1026,14,0,0,1025,1,0.396034241,0.298999786,FALSE
3559,3559,QSAR-TID-10489,1,62,active,Sparse_ARFF,,,,0,1026,13,0,0,1025,1,0.410499334,0.378965616,FALSE
3560,3560,QSAR-TID-13067,1,62,active,Sparse_ARFF,,,,0,1026,540,0,0,1025,1,0.627221584,0.609997272,FALSE
3561,3561,QSAR-TID-17034,1,62,active,Sparse_ARFF,,,,0,1026,116,0,0,1025,1,0.523032427,0.407002211,FALSE
3562,3562,QSAR-TID-102733,1,62,active,Sparse_ARFF,,,,0,1026,41,0,0,1025,1,0.444962263,0.37299633,FALSE
3563,3563,QSAR-TID-100789,1,62,active,Sparse_ARFF,,,,0,1026,676,0,0,1025,1,0.70589757,0.457449675,FALSE
3564,3564,QSAR-TID-20112,1,62,active,Sparse_ARFF,,,,0,1026,240,0,0,1025,1,0.500033379,0.46900773,FALSE
3565,3565,QSAR-TID-10304,1,62,active,Sparse_ARFF,,,,0,1026,992,0,0,1025,1,0.661962509,0.634965658,FALSE
3566,3566,QSAR-TID-12753,1,62,active,Sparse_ARFF,,,,0,1026,23,0,0,1025,1,0.408998489,0.381000042,FALSE
3567,3567,QSAR-TID-10044,1,62,active,Sparse_ARFF,,,,0,1026,939,0,0,1025,1,0.675392389,0.418997288,FALSE
3568,3568,QSAR-TID-30018,1,62,active,Sparse_ARFF,,,,0,1026,903,0,0,1025,1,0.670149326,0.439002514,FALSE
3569,3569,QSAR-TID-112,1,62,active,Sparse_ARFF,,,,0,1026,692,0,0,1025,1,0.652996778,0.528998137,FALSE
3570,3570,QSAR-TID-12971,1,62,active,Sparse_ARFF,,,,0,1026,188,0,0,1025,1,0.573353052,0.372000456,FALSE
3571,3571,QSAR-TID-10919,1,62,active,Sparse_ARFF,,,,0,1026,386,0,0,1025,1,0.559020281,0.395000458,FALSE
3572,3572,QSAR-TID-10960,1,62,active,Sparse_ARFF,,,,0,1026,70,0,0,1025,1,0.444693089,0.426997185,FALSE
3573,3573,QSAR-TID-20067,1,62,active,Sparse_ARFF,,,,0,1026,29,0,0,1025,1,0.405999422,0.263005018,FALSE
3574,3574,QSAR-TID-10958,1,62,active,Sparse_ARFF,,,,0,1026,107,0,0,1025,1,0.510996819,0.329054832,FALSE
3575,3575,QSAR-TID-100579,1,62,active,Sparse_ARFF,,,,0,1026,564,0,0,1025,1,0.612998009,0.579000473,FALSE
3576,3576,QSAR-TID-100895,1,62,active,Sparse_ARFF,,,,0,1026,21,0,0,1025,1,0.420281887,0.519450665,TRUE
3577,3577,QSAR-TID-103446,1,62,active,Sparse_ARFF,,,,0,1026,73,0,0,1025,1,0.49103117,0.47513628,FALSE
3578,3578,QSAR-TID-262,1,62,active,Sparse_ARFF,,,,0,1026,429,0,0,1025,1,0.595966339,0.44196558,FALSE
3579,3579,QSAR-TID-12295,1,62,active,Sparse_ARFF,,,,0,1026,15,0,0,1025,1,0.40799737,0.53120327,TRUE
3580,3580,QSAR-TID-103140,1,62,active,Sparse_ARFF,,,,0,1026,73,0,0,1025,1,0.545569181,0.460963488,FALSE
3581,3581,QSAR-TID-10580,1,62,active,Sparse_ARFF,,,,0,1026,1926,0,0,1025,1,0.842116117,0.471003294,FALSE
3582,3582,QSAR-TID-10004,1,62,active,Sparse_ARFF,,,,0,1026,14,0,0,1025,1,0.400996923,0.301019192,FALSE
3583,3583,QSAR-TID-10477,1,62,active,Sparse_ARFF,,,,0,1026,682,0,0,1025,1,0.653998375,0.447518349,FALSE
3584,3584,QSAR-TID-12665,1,62,active,Sparse_ARFF,,,,0,1026,899,0,0,1025,1,0.706032038,0.421068907,FALSE
3585,3585,QSAR-TID-11534,1,62,active,Sparse_ARFF,,,,0,1026,1703,0,0,1025,1,0.768876076,0.547970772,FALSE
3586,3586,QSAR-TID-104390,1,62,active,Sparse_ARFF,,,,0,1026,14,0,0,1025,1,0.403817415,0.44340229,TRUE
3587,3587,QSAR-TID-101183,1,62,active,Sparse_ARFF,,,,0,1026,78,0,0,1025,1,0.513031483,0.502098322,FALSE
3588,3588,QSAR-TID-11873,1,62,active,Sparse_ARFF,,,,0,1026,115,0,0,1025,1,0.495959759,0.590351343,TRUE
3589,3589,QSAR-TID-100186,1,62,active,Sparse_ARFF,,,,0,1026,360,0,0,1025,1,0.528612614,0.680337191,TRUE
3590,3590,QSAR-TID-17115,1,62,active,Sparse_ARFF,,,,0,1026,23,0,0,1025,1,0.420255423,0.410538912,FALSE
3591,3591,QSAR-TID-101204,1,62,active,Sparse_ARFF,,,,0,1026,75,0,0,1025,1,0.50018096,0.564307928,TRUE
3592,3592,QSAR-TID-12077,1,62,active,Sparse_ARFF,,,,0,1026,53,0,0,1025,1,0.394998789,0.461990595,TRUE
3593,3593,QSAR-TID-11113,1,62,active,Sparse_ARFF,,,,0,1026,94,0,0,1025,1,0.423036337,0.470385313,TRUE
3594,3594,QSAR-TID-11056,1,62,active,Sparse_ARFF,,,,0,1026,41,0,0,1025,1,0.460986614,0.452992439,FALSE
3595,3595,QSAR-TID-102576,1,62,active,Sparse_ARFF,,,,0,1026,17,0,0,1025,1,0.432840824,0.402029514,FALSE
3596,3596,QSAR-TID-10438,1,62,active,Sparse_ARFF,,,,0,1026,565,0,0,1025,1,0.563549757,0.616004944,TRUE
3597,3597,QSAR-TID-143,1,62,active,Sparse_ARFF,,,,0,1026,393,0,0,1025,1,0.592995882,0.530002594,FALSE
3598,3598,QSAR-TID-10439,1,62,active,Sparse_ARFF,,,,0,1026,149,0,0,1025,1,0.460998535,0.483972073,TRUE
3599,3599,QSAR-TID-101349,1,62,active,Sparse_ARFF,,,,0,1026,652,0,0,1025,1,0.603996992,0.634987116,TRUE
3600,3600,QSAR-TID-10956,1,62,active,Sparse_ARFF,,,,0,1026,52,0,0,1025,1,0.44678998,0.449010611,TRUE
3601,3601,QSAR-TID-13000,1,62,active,Sparse_ARFF,,,,0,1026,3459,0,0,1025,1,1.044992924,0.671989202,FALSE
3602,3602,QSAR-TID-100853,1,62,active,Sparse_ARFF,,,,0,1026,76,0,0,1025,1,0.553194523,0.475000858,FALSE
3603,3603,QSAR-TID-10614,1,62,active,Sparse_ARFF,,,,0,1026,246,0,0,1025,1,0.557994843,0.339001179,FALSE
3604,3604,QSAR-TID-8,1,62,active,Sparse_ARFF,,,,0,1026,1739,0,0,1025,1,0.769750595,0.412026644,FALSE
3605,3605,QSAR-TID-10527,1,62,active,Sparse_ARFF,,,,0,1026,294,0,0,1025,1,0.522000074,0.392968178,FALSE
3606,3606,QSAR-TID-38,1,62,active,Sparse_ARFF,,,,0,1026,70,0,0,1025,1,0.496425152,0.348033905,FALSE
3607,3607,QSAR-TID-10300,1,62,active,Sparse_ARFF,,,,0,1026,20,0,0,1025,1,0.45700717,0.249987364,FALSE
3608,3608,QSAR-TID-11141,1,62,active,Sparse_ARFF,,,,0,1026,38,0,0,1025,1,0.436963797,0.400977373,FALSE
3609,3609,QSAR-TID-11019,1,62,active,Sparse_ARFF,,,,0,1026,592,0,0,1025,1,0.726022243,0.495030403,FALSE
3610,3610,QSAR-TID-102678,1,62,active,Sparse_ARFF,,,,0,1026,79,0,0,1025,1,0.544167519,0.399967909,FALSE
3611,3611,QSAR-TID-124,1,62,active,Sparse_ARFF,,,,0,1026,1745,0,0,1025,1,0.748575211,0.569005728,FALSE
3612,3612,QSAR-TID-11409,1,62,active,Sparse_ARFF,,,,0,1026,927,0,0,1025,1,0.663339615,0.60299468,FALSE
3613,3613,QSAR-TID-10505,1,62,active,Sparse_ARFF,,,,0,1026,64,0,0,1025,1,0.454971552,0.35229516,FALSE
3614,3614,QSAR-TID-20166,1,62,active,Sparse_ARFF,,,,0,1026,561,0,0,1025,1,0.563994646,0.465708256,FALSE
3615,3615,QSAR-TID-12832,1,62,active,Sparse_ARFF,,,,0,1026,478,0,0,1025,1,0.63496685,0.467042685,FALSE
3616,3616,QSAR-TID-105,1,62,active,Sparse_ARFF,,,,0,1026,1251,0,0,1025,1,0.726008415,0.484953165,FALSE
3617,3617,QSAR-TID-103095,1,62,active,Sparse_ARFF,,,,0,1026,73,0,0,1025,1,0.520776272,0.418997526,FALSE
3618,3618,QSAR-TID-12512,1,62,active,Sparse_ARFF,,,,0,1026,2866,0,0,1025,1,0.931516886,0.499022961,FALSE
3619,3619,QSAR-TID-11006,1,62,active,Sparse_ARFF,,,,0,1026,692,0,0,1025,1,0.624661207,0.548980474,FALSE
3620,3620,QSAR-TID-102840,1,62,active,Sparse_ARFF,,,,0,1026,18,0,0,1025,1,0.438034296,0.336997509,FALSE
3621,3621,QSAR-TID-30016,1,62,active,Sparse_ARFF,,,,0,1026,97,0,0,1025,1,0.558573008,0.388553143,FALSE
3622,3622,QSAR-TID-100872,1,62,active,Sparse_ARFF,,,,0,1026,533,0,0,1025,1,0.58660078,0.443994045,FALSE
3623,3623,QSAR-TID-101433,1,62,active,Sparse_ARFF,,,,0,1026,81,0,0,1025,1,0.577995539,0.423029423,FALSE
3624,3624,QSAR-TID-101220,1,62,active,Sparse_ARFF,,,,0,1026,709,0,0,1025,1,0.631028175,0.397005796,FALSE
3625,3625,QSAR-TID-11000,1,62,active,Sparse_ARFF,,,,0,1026,12,0,0,1025,1,0.435968399,0.288001299,FALSE
3626,3626,QSAR-TID-103437,1,62,active,Sparse_ARFF,,,,0,1026,73,0,0,1025,1,0.591759682,0.400995255,FALSE
3627,3627,QSAR-TID-100942,1,62,active,Sparse_ARFF,,,,0,1026,10,0,0,1025,1,0.430960655,0.272968531,FALSE
3628,3628,QSAR-TID-12294,1,62,active,Sparse_ARFF,,,,0,1026,290,0,0,1025,1,0.590032339,0.355029106,FALSE
3629,3629,QSAR-TID-100917,1,62,active,Sparse_ARFF,,,,0,1026,122,0,0,1025,1,0.566366911,0.397008181,FALSE
3630,3630,QSAR-TID-101281,1,62,active,Sparse_ARFF,,,,0,1026,670,0,0,1025,1,0.785960436,0.386959553,FALSE
3631,3631,QSAR-TID-12719,1,62,active,Sparse_ARFF,,,,0,1026,54,0,0,1025,1,0.576566935,0.305022717,FALSE
3632,3632,QSAR-TID-10928,1,62,active,Sparse_ARFF,,,,0,1026,125,0,0,1025,1,0.655553341,0.42397809,FALSE
3633,3633,QSAR-TID-100452,1,62,active,Sparse_ARFF,,,,0,1026,46,0,0,1025,1,0.527033091,0.321034193,FALSE
3634,3634,QSAR-TID-105654,1,62,active,Sparse_ARFF,,,,0,1026,11,0,0,1025,1,0.422390938,0.270968914,FALSE
3635,3635,QSAR-TID-102473,1,62,active,Sparse_ARFF,,,,0,1026,73,0,0,1025,1,0.653984308,0.470034361,FALSE
3636,3636,QSAR-TID-101036,1,62,active,Sparse_ARFF,,,,0,1026,25,0,0,1025,1,0.485983849,0.280997276,FALSE
3637,3637,QSAR-TID-11617,1,62,active,Sparse_ARFF,,,,0,1026,309,0,0,1025,1,0.651998997,0.482966661,FALSE
3638,3638,QSAR-TID-12037,1,62,active,Sparse_ARFF,,,,0,1026,83,0,0,1025,1,0.674916029,0.404026031,FALSE
3639,3639,QSAR-TID-12790,1,62,active,Sparse_ARFF,,,,0,1026,30,0,0,1025,1,0.466976404,0.360971212,FALSE
3640,3640,QSAR-TID-11260,1,62,active,Sparse_ARFF,,,,0,1026,149,0,0,1025,1,0.650079012,0.361032963,FALSE
3641,3641,QSAR-TID-11606,1,62,active,Sparse_ARFF,,,,0,1026,29,0,0,1025,1,0.698992968,0.259260416,FALSE
3642,3642,QSAR-TID-10586,1,62,active,Sparse_ARFF,,,,0,1026,13,0,0,1025,1,0.428999901,0.314004421,FALSE
3643,3643,QSAR-TID-102578,1,62,active,Sparse_ARFF,,,,0,1026,17,0,0,1025,1,0.420362711,0.264997244,FALSE
3644,3644,QSAR-TID-101610,1,62,active,Sparse_ARFF,,,,0,1026,145,0,0,1025,1,0.571968794,0.349999189,FALSE
3645,3645,QSAR-TID-102391,1,62,active,Sparse_ARFF,,,,0,1026,516,0,0,1025,1,0.613277674,0.462030172,FALSE
3646,3646,QSAR-TID-12202,1,62,active,Sparse_ARFF,,,,0,1026,34,0,0,1025,1,0.448604822,0.324009895,FALSE
3647,3647,QSAR-TID-19639,1,62,active,Sparse_ARFF,,,,0,1026,958,0,0,1025,1,0.686997175,0.444990396,FALSE
3648,3648,QSAR-TID-102580,1,62,active,Sparse_ARFF,,,,0,1026,17,0,0,1025,1,0.488000393,0.267980099,FALSE
3649,3649,QSAR-TID-30025,1,62,active,Sparse_ARFF,,,,0,1026,813,0,0,1025,1,0.79399538,0.480540514,FALSE
3650,3650,QSAR-TID-103726,1,62,active,Sparse_ARFF,,,,0,1026,348,0,0,1025,1,0.701555252,0.353986979,FALSE
3651,3651,QSAR-TID-11522,1,62,active,Sparse_ARFF,,,,0,1026,1585,0,0,1025,1,0.919985056,0.514979362,FALSE
3652,3652,QSAR-TID-100415,1,62,active,Sparse_ARFF,,,,0,1026,804,0,0,1025,1,0.986511469,0.505034685,FALSE
3653,3653,QSAR-TID-17052,1,62,active,Sparse_ARFF,,,,0,1026,55,0,0,1025,1,0.604993105,0.314005852,FALSE
3654,3654,QSAR-TID-100833,1,62,active,Sparse_ARFF,,,,0,1026,83,0,0,1025,1,0.522046089,0.3909657,FALSE
3655,3655,QSAR-TID-11720,1,62,active,Sparse_ARFF,,,,0,1026,1027,0,0,1025,1,0.705263853,0.464997053,FALSE
3656,3656,QSAR-TID-99,1,62,active,Sparse_ARFF,,,,0,1026,62,0,0,1025,1,0.502611637,0.30706358,FALSE
3657,3657,QSAR-TID-12968,1,62,active,Sparse_ARFF,,,,0,1026,668,0,0,1025,1,0.648452759,0.358994484,FALSE
3658,3658,QSAR-TID-57,1,62,active,Sparse_ARFF,,,,0,1026,269,0,0,1025,1,0.551998377,0.38597393,FALSE
3659,3659,QSAR-TID-10403,1,62,active,Sparse_ARFF,,,,0,1026,935,0,0,1025,1,0.664001703,0.501009226,FALSE
3660,3660,QSAR-TID-101607,1,62,active,Sparse_ARFF,,,,0,1026,80,0,0,1025,1,0.572999001,0.353001118,FALSE
3661,3661,QSAR-TID-20137,1,62,active,Sparse_ARFF,,,,0,1026,101,0,0,1025,1,0.463997364,0.454631329,FALSE
3662,3662,QSAR-TID-101179,1,62,active,Sparse_ARFF,,,,0,1026,80,0,0,1025,1,0.482186794,0.403005362,FALSE
3663,3663,QSAR-TID-17033,1,62,active,Sparse_ARFF,,,,0,1026,270,0,0,1025,1,0.558998585,0.421993494,FALSE
3664,3664,QSAR-TID-12013,1,62,active,Sparse_ARFF,,,,0,1026,200,0,0,1025,1,0.516997814,0.38562274,FALSE
3665,3665,QSAR-TID-19607,1,62,active,Sparse_ARFF,,,,0,1026,143,0,0,1025,1,0.490838766,0.325967789,FALSE
3666,3666,QSAR-TID-10971,1,62,active,Sparse_ARFF,,,,0,1026,108,0,0,1025,1,0.533033133,0.454004526,FALSE
3667,3667,QSAR-TID-10964,1,62,active,Sparse_ARFF,,,,0,1026,165,0,0,1025,1,0.442145824,0.372003078,FALSE
3668,3668,QSAR-TID-100071,1,62,active,Sparse_ARFF,,,,0,1026,90,0,0,1025,1,0.525307655,0.352133036,FALSE
3669,3669,QSAR-TID-19624,1,62,active,Sparse_ARFF,,,,0,1026,52,0,0,1025,1,0.440029383,0.368033886,FALSE
3670,3670,QSAR-TID-19907,1,62,active,Sparse_ARFF,,,,0,1026,13,0,0,1025,1,0.450997591,0.241995811,FALSE
3671,3671,QSAR-TID-30042,1,62,active,Sparse_ARFF,,,,0,1026,81,0,0,1025,1,0.497995138,0.444966078,FALSE
3672,3672,QSAR-TID-101404,1,62,active,Sparse_ARFF,,,,0,1026,121,0,0,1025,1,0.53499794,0.401036739,FALSE
3673,3673,QSAR-TID-12861,1,62,active,Sparse_ARFF,,,,0,1026,235,0,0,1025,1,0.547181606,0.331578016,FALSE
3674,3674,QSAR-TID-12635,1,62,active,Sparse_ARFF,,,,0,1026,85,0,0,1025,1,0.477288723,0.292973042,FALSE
3675,3675,QSAR-TID-10908,1,62,active,Sparse_ARFF,,,,0,1026,13,0,0,1025,1,0.39199996,0.301997423,FALSE
3676,3676,QSAR-TID-214,1,62,active,Sparse_ARFF,,,,0,1026,770,0,0,1025,1,0.70299387,0.43803525,FALSE
3677,3677,QSAR-TID-11635,1,62,active,Sparse_ARFF,,,,0,1026,1003,0,0,1025,1,0.680031061,0.437998533,FALSE
3678,3678,QSAR-TID-12469,1,62,active,Sparse_ARFF,,,,0,1026,102,0,0,1025,1,0.467056274,0.340580225,FALSE
3679,3679,QSAR-TID-101317,1,62,active,Sparse_ARFF,,,,0,1026,99,0,0,1025,1,0.555183172,0.374036789,FALSE
3680,3680,QSAR-TID-30006,1,62,active,Sparse_ARFF,,,,0,1026,82,0,0,1025,1,0.496999264,0.36399579,FALSE
3681,3681,QSAR-TID-12299,1,62,active,Sparse_ARFF,,,,0,1026,45,0,0,1025,1,0.387652636,0.335010529,FALSE
3682,3682,QSAR-TID-100790,1,62,active,Sparse_ARFF,,,,0,1026,170,0,0,1025,1,0.586998463,0.410004377,FALSE
3683,3683,QSAR-TID-18033,1,62,active,Sparse_ARFF,,,,0,1026,137,0,0,1025,1,0.66199708,0.454993486,FALSE
3684,3684,QSAR-TID-10651,1,62,active,Sparse_ARFF,,,,0,1026,235,0,0,1025,1,0.696998358,0.336674929,FALSE
3685,3685,QSAR-TID-12214,1,62,active,Sparse_ARFF,,,,0,1026,330,0,0,1025,1,0.614999294,0.385000706,FALSE
3686,3686,QSAR-TID-10014,1,62,active,Sparse_ARFF,,,,0,1026,979,0,0,1025,1,0.802775621,0.499176741,FALSE
3687,3687,QSAR-TID-11281,1,62,active,Sparse_ARFF,,,,0,1026,43,0,0,1025,1,0.478400469,0.309007645,FALSE
3688,3688,QSAR-TID-11848,1,62,active,Sparse_ARFF,,,,0,1026,66,0,0,1025,1,21.59091139,0.356959581,FALSE
3689,3689,QSAR-TID-10549,1,62,active,Sparse_ARFF,,,,0,1026,532,0,0,1025,1,0.634857893,0.448927164,FALSE
